Volatile_compounds,Analysis_method
gamma-Eudesmol,GC-MS
Citronellol,GC-MS
Citronellyl formate,GC-MS
"(S,1Z,6Z)-8-Isopropyl-1-methyl-5-methylenecyclodeca-1,6-diene",GC-MS
Geranyl formate,GC-MS
Geranyl tiglate,GC-MS
Viridiflorene,GC-MS
Octadecamethylcyclononasiloxane,GC-MS
Geraniol,GC-MS
"N,N-bis trimethylsilyl trifluoroacetamide",GC-MS
alpha-Thujone,GC-MS
"Cyclodecasiloxane, eicosamethyl-",GC-MS
beta-Bisabolene,GC-MS
Isocaryophyllene,GC-MS
"Exo-1,7,7-trimethylbicyclo[2.2.1]hept-2-yl acetate",GC-MS
Bicyclogermacrene,GC-MS
(Z)-alpha-Bisabolene,GC-MS
trans-Piperitone epoxide,GC-MS
3-Carene,GC-MS
"Cadina-1(10),4-diene",GC-MS
cis-Piperitone oxide,GC-MS
trans-Carveol,GC-MS
Citronellal,GC-MS
1-Octen-3-OL,GC-MS
T-Muurolol,GC-MS
(+)-tau-Muurolol,GC-MS
alpha-Cadinol,GC-MS
(Z)-beta-Ocimene,GC-MS
Elemol,GC-MS
gamma-Terpinene,GC-MS
Piperitenone oxide,GC-MS
Sabinene,GC-MS
Piperitone oxide,GC-MS
Pulegone,GC-MS
Isomenthone,GC-MS
Linalyl oxide,GC-MS
"1,2,4-Trimethoxybenzene",GC-MS
Menthone,GC-MS
Piperitenone,GC-MS
Piperitone,GC-MS
3-Octanol,GC-MS
3-Octanone,GC-MS
Isopulegone,GC-MS
schisofurane,GC-MS
Menthol,GC-MS
Neomenthol,GC-MS
Carvone,GC-MS
Carvomenthone,GC-MS
cis-Carveol,GC-MS
cis-Sabinene hydrate,GC-MS
beta-Eudesmol,GC-MS
Guaiol,GC-MS
Oplopanone,GC-MS
(+)-alpha-Cadinene,GC-MS
alpha-Phellandrenee,GC-MS
"1H-Cycloprop[e]azulene, decahydro-1,1,4,7-tetramethyl-",GC-MS
beta-Selinene,GC-MS
Thymol,GC-MS
Camphene,GC-MS
beta-Phellandrene,GC-MS
Aliphatic aldehyde,GC-MS
Sabinene hydrate,GC-MS
alpha-Terpinene,GC-MS
Citronellyl acetate,GC-MS
Sesquiterpene hydrocarbon,GC-MS
Thymol acetate,GC-MS
(E)-2-epi-Caryophyllene,GC-MS
Carvacryl acetate,GC-MS
(+)-alpha-Pinene,GC-MS
Elemicin,GC-MS
Isoelemicin,GC-MS
alpha-Asarone,GC-MS
Myristicin,GC-MS
beta-Cubebene,GC-MS
alpha-Farnesene,GC-MS
(-)-beta-Sesquiphellandrene,GC-MS
alpha-Bergamotene,GC-MS
alpha-Thujene,GC-MS
Terpinolene,GC-MS
trans-Sabinene hydrate,GC-MS
(E)-2-methyl-5-(2-methyl-3-methylidene-2-bicyclo[2.2.1]heptanyl)pent-2-en-1-ol,GC-MS
(+)-Caran-3beta-ol,GC-MS
(4R)-4-Isopropyl-1-methyl-1-cyclohexene-4-ol acetate,GC-MS
"2,6-Dimethyl-2,4,6-octatriene",GC-MS
[4-(Prop-1-en-2-yl)cyclohexyl]methanol,GC-MS
Eugenol,GC-MS
alpha-Cubebene,GC-MS
Methyl cinnamate,GC-MS
Naphthalene,GC-MS
Germacrene B,GC-MS
Myrtenol,GC-MS
Azulene,GC-MS
Methyl cis-cinnamate,GC-MS
Cyclohexene,GC-MS
"2,4-Diisopropenyl-1-methyl-1-vinyl-cyclohexane",GC-MS
"Diethyl 2,6-dimethylpyridine-3,5-dicarboxylate",GC-MS
"Guaia-1(10),11-diene",GC-MS
Cadinene,GC-MS
Guaiene,GC-MS
"1,5,9,9-Tetramethyl-1,4,7-cycloundecatriene",GC-MS
"2,2-Dimethyl-3-(3-methylenepent-4-enyl)oxirane",GC-MS
Citral,GC-MS
Fenchyl alcohol,GC-MS
"alpha,alpha-Dimethyl-4-methylenecyclohexanemethanol",GC-MS
Perilla ketone,GC-MS
Isoegomaketone,GC-MS
Benzaldehyde,GC-MS
Perillene,GC-MS
6-Methylheptan-3-one,GC-MS
"3,3-Dimethylhexane",GC-MS
"2,4-Dimethylundecane",GC-MS
"2,6,11-Trimethyldodecane",GC-MS
"2,8-Dimethylundecane",GC-MS
"4,7-Dimethylundecane",GC-MS
"5,7-Dimethylundecane",GC-MS
Methyl geranate,GC-MS
Dihydroactinidiolide,GC-MS
"5,6-O-dipalmitoyl-L-ascorbic acid",GC-MS
1-Iododecane,GC-MS
alpha-Guaiene,GC-MS
delta-Guaiene,GC-MS
Patchouli alcohol,GC-MS
alpha-Patchoulene,GC-MS
beta-Patchoulene,GC-MS
Seychellene,GC-MS
(Z)-caryophyllene,GC-MS
Longicanfenolene,GC-MS
delta-Elemene,GC-MS
alpha-Selinene,GC-MS
7-Epi-alpha-selinene,GC-MS
Selin-11-en-4alpha-ol,GC-MS
"naphthalene, 1,2,3,4,4a,5,6,8a-octahydro-1,4a-dimethyl-7-(1-methylethenyl)-, (1R,4aS,8aR)-",GC-MS
"1,10-Di-epcubenol",GC-MS
Cuparene,GC-MS
beta-Copaene,GC-MS
(Z)-beta-Damascenone,GC-MS
"(1R,4R,4aR,6S,8aR)-1,6-dimethyl-4-propan-2-yl-3,4,4a,5,6,7,8,8a-octahydro-2H-naphthalen-1-ol",GC-MS
beta-Ionone,GC-MS
"(2R,5S)-2-methyl-5-(6-methylhept-5-en-2-yl)bicyclo[3.1.0]hexan-2-ol",GC-MS
6-Epi-beta-bisabolol,GC-MS
Verbenone,GC-MS
cis-beta-Farnesene,GC-MS
Bisabolol,GC-MS
alpha-Terpinyl acetate,GC-MS
D-Camphor,GC-MS
Triacetin,GC-MS
Benzyl acetate,GC-MS
D-Limonene,GC-MS
Nopyl acetate,GC-MS
Safrole,GC-MS
Germacrene D-4-ol,GC-MS
Linoleic acid,GC-MS
Linolenic acid,GC-MS
Nonacosane,GC-MS
Damascenone,GC-MS
Pentacosane,GC-MS
"4-(1,5-Dimethylhex-4-enyl)cyclohex-2-enone",GC-MS
Sesquisabinene,GC-MS
14-Hydroxy-(Z)-caryophyllene,GC-MS
(E)-beta-Damascone,GC-MS
alpha-Eudesmol,GC-MS
2-Isopropyl-5-methylanisole,GC-MS
Oleic acid,GC-MS
"9,12-Octadecadienoic acid",GC-MS
beta-Terpineol,GC-MS
O-Cymene,GC-MS
"1,4-Cineole",GC-MS
2-Carene,GC-MS
Ethyl 9-hexadecenoate,GC-MS
Caryophyllene epoxide,GC-MS
Nerolidol,GC-MS
Valencene,GC-MS
"Guaia-3,7-diene",GC-MS
Globulol,GC-MS
[(1-Butylnonyl)oxy](isopropyl)dimethylsilane,GC-MS
Heptane,GC-MS
"p-(1,1-dimethylethyl) toluene",GC-MS
Formic acid,GC-MS
trans-alpha-Bergamotene,GC-MS
alpha-Cedrene,GC-MS
Aristolene,GC-MS
Palmitoleic acid,GC-MS
acetyl-lactylglycerate,GC-MS
Allo-Aromadendrene,GC-MS
"(1S,4aS,8aR)-1-isopropyl-7-methyl-4-methylene-1,2,3,4,4a,5,6,8a-octahydronaphthalene",GC-MS
alpha-Muurolene,GC-MS
Octanal,GC-MS
Furfural,GC-MS
"2-[(2R,5S)-5-ethenyl-5-methyloxolan-2-yl]propan-2-ol",GC-MS
Octanoic acid,GC-MS
Nonanal,GC-MS
5-Methylfurfural,GC-MS
trans-Linalyl oxide,GC-MS
Hexanal,GC-MS
Nonanoic acid,GC-MS
Hexanoic acid,GC-MS
"2,4-Decadienal",GC-MS
1-Hexanol,GC-MS
Anethole,GC-MS
"2-Undecanone+(E,Z)-2,4-Decadienal",GC-MS
Bisacumol,GC-MS
Heptanoic acid,GC-MS
2-Pentylfuran,GC-MS
Cinnamaldehyde+2-Hexylthiophene,GC-MS
Phenylacetaldehyde,GC-MS
Decanal,GC-MS
Formanilide,GC-MS
"Aromadendrene, dehydro-",GC-MS
Cosmene,GC-MS
"Nona-2,3-dienoic acid, ethyl ester",GC-MS
Cedrene,GC-MS
"(E,Z)-2,6-Dimethylocta-2,4,6-triene",GC-MS
πPinene,GC-MS
Phenethylamine,GC-MS
beta-Terpinyl acetate,GC-MS
trans-Pinocarveol,GC-MS
Carveol,GC-MS
AC1Q2A93,GC-MS
Pinocarvone,GC-MS
Myrtenal,GC-MS
Isoeugenyl methyl ether,GC-MS
Methyleugenol,GC-MS
alpha-Campholenal,GC-MS
Ethyl cinnamate,GC-MS
Cinnamaldehyde,GC-MS
"4,7,7-Trimethylbicyclo[4.1.0]hept-2-ene",GC-MS
cis-3-Hexen-1-ol,GC-MS
Methylisoeugenol,GC-MS
"1-Isopropyl-4,7-dimethyl-1,3,4,5,6,8a-hexahydro-4a(2H)-naphthalenol",GC-MS
"2-[(3r,5s,8r)-3,8-Dimethyl-1,2,3,4,5,6,7,8-octahydroazulen-5-yl]propan-2-ol",GC-MS
Cadinol,GC-MS
Viridiflorol,GC-MS
"naphthalene,1,2,3,4,4a,7-hexahydro",GC-MS
Tetradecanal,GC-MS
beta-Terpinene,GC-MS
Ent-Spathulenol,GC-MS
a-Terpineol,GC-MS
Terpinen-4-ol,GC-MS
alpha-Gurjunene,GC-MS
Longifolene-(V4),GC-MS
"1,6-Octadien-3-ol",GC-MS
"2-Furanmethanol, 5-ethenyltetrahydro-alpha,alpha,5-trimethyl-, cis-",GC-MS
"Linalool, oxide",GC-MS
"1,6,10-Dodecatrien-3-ol, 3,7,11-trimethyl-",GC-MS
"1H-Cycloprop[e]azulen-7-ol,decahydro-1,1,7- trimethyl-4-methylene-,",GC-MS
Isobornyl phenylacetate,GC-MS
"1-Methyl-4-((E)-1,5,9-trimethyl-8-methylenedec-4-enyl)-2,3-dioxa-bicyclo[2.2.2]oct-5-ene",GC-MS
Benzofuran,GC-MS
3-Cyclohexene-1-carboxaldehyde,GC-MS
Myrcenol,GC-MS
1-Methylcyclopentanol,GC-MS
Diethyl suberate,GC-MS
Dodecanal,GC-MS
Decanoic acid,GC-MS
Caryophyllenyl alcohol,GC-MS
"trans-Cadina-1(6),4-diene",GC-MS
alpha-Curcumene,GC-MS
Nonan-1-ol,GC-MS
6-Methyl-5-hepten-2-one,GC-MS
cis-Cinnamaldehyde,GC-MS
3-Phenylpropanal,GC-MS
Cinnamyl acetate,GC-MS
"Labd-14-ene, 8,13-epoxy-, (13S)-",GC-MS
Phyllocladene,GC-MS
Limonene+Eucalyptol,GC-MS
Methyl isoeugenol,GC-MS
M-Cymene,GC-MS
alpha-isoTerpineol,GC-MS
beta-Thujene,GC-MS
beta-Cadinene,GC-MS
"bicyclo(7.2.0)undec-4-ene 4,11,11-trimethylene",GC-MS
Vitamin E,GC-MS
16-Hentriacontanone,GC-MS
Triacontane,GC-MS
Hexacosanal,GC-MS
Clionasterol,GC-MS
Hentriacontane,GC-MS
Acetyleugenol,GC-MS
(-)-beta-Chamigrene,GC-MS
delta-Cadinol,GC-MS
4-Allylphenol,GC-MS
tau-Naphthalenol,GC-MS
4-Allylphenyl acetate,GC-MS
2-Acetylbenzoic acid,GC-MS
Cadin-4-en-10-ol,GC-MS
Eudesmol,GC-MS
Linalyl propionate,GC-MS
"Cadina-4,9-diene",GC-MS
"2-[(1S,2S,3R,7S)-6,8-dimethyl-3-tricyclo[4.4.0.02,7]dec-8-enyl]propan-2-ol",GC-MS
Unii-0V56hxq8N5,GC-MS
"(3S,6E)-Nerolidol",GC-MS
"2,3,4,4a,5,6,7,8-Octahydro-4a,8-tetramethyl-2-naphthalenemethanol",GC-MS
1-Nonadecene,GC-MS
(Z)-Cinnamyl acetate,GC-MS
Ethyl palmitate,GC-MS
Nonadecane,GC-MS
Neral,GC-MS
Hexadecane,GC-MS
Heptadecane,GC-MS
cis-beta-Guaiene,GC-MS
Longifolene,GC-MS
gamma-Maaliene,GC-MS
"(+)-m-Mentha-1(6),8-diene",GC-MS
p-Menth-4(8)-en-3-one,GC-MS
Ledol,GC-MS
Dihydro-cis-alpha-copaene-8-ol,GC-MS
Cubinene,GC-MS
Aromadendrene,GC-MS
Juniper camphor,GC-MS
"3,7(11)-Eudesmadiene",GC-MS
"(2Z,6E)-Farnesol",GC-MS
Isoterpinolene,GC-MS
Zizanene,GC-MS
"1,6-Cyclodecadiene, 1-methyl-5-methylene-8-(1-methylethyl)-",GC-MS
alpha-Caryophyllene,GC-MS
gamma-Elemene,GC-MS
"(1R,2R,4S)-1,3,3-Trimethylbicyclo(2.2.1)heptan-2-yl acetate",GC-MS
"8-Isopropenyl-1,5-dimethyl-1,5-Cyclodecadiene",GC-MS
"1-Isopropyl-4,7-dimethyl-1,2,4a,5,8,8a-hexahydronaphthalene",GC-MS
Calarene,GC-MS
"1H-cycloprop[e]azulen-7-ol,decahydro-1,1,7-trimethyl-4-methylene-1aR-(1aalpha,4aalpha,7beta)-",GC-MS
Eremophilene,GC-MS
Ylangenol,GC-MS
trans-3-Hexen-1-ol,GC-MS
"(1R,4R,6S)-1-methyl-4-(prop-1-en-2-yl)-7-oxabicyclo[4.1.0]heptane",GC-MS
Caryophylladienol I,GC-MS
Phytol isomer,GC-MS
beta-Elemol,GC-MS
"2-Naphthalenemethanol, 1,2,3,4,4a,5,6,8a-octahydro-alpha,alpha,4a,8-tetramethyl-, (2R,4aR,8aR)-",GC-MS
"1-Hydroxy-1,7-dimethyl-4-isopropyl-2,7-cyclodecadiene",GC-MS
(E)-Geranyl acetate,GC-MS
Farnesol,GC-MS
"1,2,3,4-Tetramethylfulvene",GC-MS
"2-Cyclohexen-1-ol, 1-methyl-4-(1-methylethyl)-, trans-",GC-MS
1-Methyl-4-(prop-1-en-2-yl)benzene,GC-MS
1-Hydroxycyclohexyl phenyl ketone,GC-MS
"2,4-Di-tert-butylphenol",GC-MS
"1,3-Di-tert-butylbenzene",GC-MS
"3,6-Dimethyldecane",GC-MS
Heneicosane,GC-MS
Tetradecane,GC-MS
8-Methylheptadecane,GC-MS
Octacosane,GC-MS
2-Methyloctacosane,GC-MS
Octadecane,GC-MS
4-Isopropylbenzoic acid,GC-MS
Isopulegol,GC-MS
alpha-Thujanol,GC-MS
4-Ethylanisole,GC-MS
D-Citronellol,GC-MS
alpha-Panasinsene,GC-MS
"[1S-(1à,2á,4á)]-1-ethenyl-1-methyl-2,4-bis(1-methylet-henyl)-cyclohexane",GC-MS
"[1ar-(1aà,4á,4aá,7à,7aá,7bà)]-decahydro-1,1,4,7-tetramethyl-1H-cycloprop[e]azulen-4-ol",GC-MS
"[2R-(2à,4aà,8aá)]-1,2,3,4,4a,5,6,8a-octahydro-4a,8-dimethyl-2-(1-methylethenyl)-naphthalene",GC-MS
"2-Isopropenyl-4a,8-dimethyl-1,2,3,4,4a,5,6,7-octahydronaphthalene",GC-MS
alpha-Caryophyllene alcohol,GC-MS
Ethane,GC-MS
"1,5,8,8-tetramethyl-cycloundeca-5,9-dien-1-ol",GC-MS
"Caryophyllan-2,6-beta-oxide",GC-MS
Lauric acid,GC-MS
NonanoI,GC-MS
Nonane,GC-MS
2-Undecanone,GC-MS
1-Octanol,GC-MS
Acetic acid,GC-MS
Nonyl decanoate,GC-MS
Hexadecanal,GC-MS
1-Tridecanol,GC-MS
Myristic acid,GC-MS
Tridecanal,GC-MS
Tridecane,GC-MS
2-Hexadecenal,GC-MS
Cedrelanol+T-Muurolol,GC-MS
Dodecane,GC-MS
cis-Verbenol,GC-MS
"Bicyclo(4.1.0)heptane, 3-ethenyl-3,7,7-trimethyl-2-(1-methylethenyl)-, (1R-(1alpha,2alpha,3beta,6alp",GC-MS
"1,2,4a,5,6,8a-Hexahydro-1-isopropyl-4,7-dimethylnaphthalene",GC-MS
Alloaromadendren,GC-MS
Thujopsene,GC-MS
N-Carbobenzyloxy-L-aspartic acid,GC-MS
Ursodeoxycholic acid,GC-MS
"1,14-Dibromotetradecane",GC-MS
"2,6,8,10,14-Hexadecapentaene, 2,6,11,15-tetramethyl-, (E,E,E)-",GC-MS
Cedr-8(15)-en-9-ol,GC-MS
Citronellyl isovalerate,GC-MS
"Cyclohexanepropanol, alpha,beta,2,2,6-pentamethyl-",GC-MS
Sesquirosefuran,GC-MS
Isoepoxyestafiatin,GC-MS
Limonene dioxide,GC-MS
2-(7-Heptadecynyloxy)tetrahydro-2H-pyran,GC-MS
Ambracetal,GC-MS
1-Octadecene,GC-MS
1-Dodecene,GC-MS
"1,2-Epoxyoctadecane",GC-MS
1-Hexadecanol,GC-MS
1-Eicosanol,GC-MS
Methyl octadec-9-ynoate,GC-MS
Z-2-Tetradecen-1-ol acetate,GC-MS
Bis(2-ethylhexyl) phthalate,GC-MS
Emulphor,GC-MS
"4,7-Dimethylbenzofuran",GC-MS
3-Methyl-4-phenyl-3-buten-2-one,GC-MS
"1,3,3-Trimethyl-2-benzofuran-1-ol",GC-MS
Pentatriacontane,GC-MS
Ethyl benzoate,GC-MS
"3,4-Dimethoxytoluene",GC-MS
"Cyclopentanol, 2-methyl-, trans-",GC-MS
1-Undecanol,GC-MS
P-Cresol,GC-MS
trans-2-Nonen-1-ol,GC-MS
Benzyl benzoate,GC-MS
Toluene,GC-MS
Dichloromethane,GC-MS
Hexane,GC-MS
Acetone,GC-MS
"3,5-Dimethoxytoluene",GC-MS
Chloroform,GC-MS
Methyl benzoate,GC-MS
Ethanol,GC-MS
3-Ethoxy-1-propanol,GC-MS
"1,4-Dimethoxybenzene",GC-MS
Acetaldehyde,GC-MS
2-Butanol,GC-MS
2-Ethylfuran,GC-MS
2-Methyl-1-butanol,GC-MS
Isoamyl alcohol,GC-MS
"2,2-Dimethyl-1,3-butanediol",GC-MS
"2,3-Butanediol",GC-MS
1-Penten-3-OL,GC-MS
4-Hydroxybutanoic acid,GC-MS
2-Hexen-1-OL,GC-MS
gamma-Caprolactone,GC-MS
Isobutyl acetate,GC-MS
alpha-Ionone,GC-MS
Nerylacetone,GC-MS
Isophytol,GC-MS
Methyl salicylate,GC-MS
Ethyl dodecanoate,GC-MS
Cadalene,GC-MS
Pentyl isobutyrate,GC-MS
Methylcyclopentane,GC-MS
2-Methylhexane,GC-MS
Farnesylacetone,GC-MS
"4,8,12-Tetradecatrienal, 5,9,13-trimethyl-",GC-MS
L-Borneol,GC-MS
Dibutyl phthalate,GC-MS
Butylbenzene,GC-MS
2-Methylbenzofuran,GC-MS
2-Methoxyphenethyl alcohol,GC-MS
gamma-Curcumene,GC-MS
1-Boc-piperidin-4-ylideneacetic acid,GC-MS
(E)-2-epi-beta-caryophyllene,GC-MS
Germacrene A,GC-MS
"2-(2,2,3-Trimethylcyclopent-3-en-1-yl)acetaldehyde",GC-MS
"Cadinene, ",GC-MS
2-Allylphenol,GC-MS
Ylangene,GC-MS
"Naphthalene, 1,2,3,4,4a,7-hexahydro-1,6-dimethyl-4-(1-methylethyl)-",GC-MS
"Bicyclo[4.4.0]dec-1-ene, 2-isopropyl-5-methyl-9-methylene-",GC-MS
gamma-Cineole,GC-MS
Bulnesol,GC-MS
"cis,cis-Farnesol",GC-MS
Calamenene,GC-MS
C15H22O (M=218),GC-MS
C15H24 (M=204),GC-MS
C15H20O (M=216),GC-MS
Methyl stearate,GC-MS
"(1E,4Z)-germacrene B",GC-MS
Methyl linoleate,GC-MS
C15H24O (M=220),GC-MS
C10H14O (M=150),GC-MS
C15H20O (M=204),GC-MS
delta-Selinene,GC-MS
"Isolongifolene, 9,10-dehydro-",GC-MS
"8-Isopropenyl-1,5-dimethyl-cyclodeca-1,5-diene",GC-MS
"3-Heptadecen-5-yne, (Z)-",GC-MS
Helminthogermacrene,GC-MS
"1-Methyl-5-methylene-8-(1-methylethyl)-1,6-cyclodecadiene",GC-MS
Methyl hexadecatrienoate,GC-MS
Methyl hexadecadienoate,GC-MS
"(1R,4aS,8aR)-6-Isopropyl-8a-methyl-4-methylene-1,2,3,4,4a,5,8,8a-octahydronaphthalen-1-ol",GC-MS
"Limonen-6-ol, pivalate",GC-MS
Caryophyllene expoy-,GC-MS
"Farnesene epoxide, E-",GC-MS
beta-Calacorene,GC-MS
cis-3-Hexenyl benzoate,GC-MS
Cycloisolongifolene,GC-MS
"Selina-4(15),7(11)-diene",GC-MS
Ethyl oleate,GC-MS
"3-acetyl-1,2-dihydro-1-hydroxy-6,7-dimethylnaphthalene",GC-MS
"5-Vinyltetrahydro-2',2',5-trimethyl-2-furanmethanol",GC-MS
"3,3,6-Trimethyl-1,5-heptadien-4-one",GC-MS
2-(4-Methylphenyl)propan-2-ol,GC-MS
Eicosane,GC-MS
Docosane,GC-MS
"2,6,10,15-Tetramethylheptadecane",GC-MS
Maleic acid,GC-MS
"6,10-Dimethylundecan-2-one",GC-MS
Allyl 10-undecenoate,GC-MS
"3,7,11-Trimethyl-2,6,10-dodecatrienyl acetate",GC-MS
Ambrettolide,GC-MS
Decyl acetate,GC-MS
Dodecyl acetate,GC-MS
"(2Z,6E)-Farnesyl acetate",GC-MS
(Z)-5-Tetradecen-14-olide,GC-MS
[(E)-tetradec-1-enyl] acetate,GC-MS
"(E,E)-3,7,11-Trimethyl-2,6,10-dodecatrienyl propionate",GC-MS
Oxacyclononadec-10-en-2-one,GC-MS
Elaidic acid,GC-MS
"1-Dodecen-1-OL, acetate",GC-MS
1-Decanol,GC-MS
Hexatriacontane,GC-MS
Hexacontane,GC-MS
"2,4-Bis(1-methyl-1-phenylethyl)phenol",GC-MS
Tetrapentacontane,GC-MS
Butyl isodecyl phthalate,GC-MS
N-Phenyl-1-naphthylamine,GC-MS
(1-Pentyloctyl)cyclohexane,GC-MS
Squalane,GC-MS
"2,6,10,14,18-Pentamethylnonadecane",GC-MS
Tetratriacontane,GC-MS
"2,3-Dihydrobenzofuran",GC-MS
Tetracontane,GC-MS
"1,16-Dibromohexadecane",GC-MS
"8,11-Octadecadienoic acid, methyl ester",GC-MS
"7,10-Octadecadienoic acid, methyl ester",GC-MS
Squalene,GC-MS
"2,6-Dimethyldecalin",GC-MS
Methyl palmitelaidate,GC-MS
5-Octadecyne,GC-MS
Methyl arachidate,GC-MS
Methyl linolelaidate,GC-MS
"4-(2,2,6-Trimethylcyclohexyl)-3-buten-2-one",GC-MS
"Cyclopropaneoctanoic acid, 2-octyl-, methyl ester",GC-MS
Methyl behenate,GC-MS
Methyl malvalate,GC-MS
Methyl 8-(2-hexylcyclopropyl)octanoate,GC-MS
Vanillin,GC-MS
2-Ethoxyethyl acetate,GC-MS
Docosanol,GC-MS
Geranylacetone,GC-MS
2-Methylpentan-2-ol,GC-MS
3-Methyl-3-pentanol,GC-MS
Geranyl isobutyrate,GC-MS
Cyclohexane,GC-MS
Stearic Acid,GC-MS
Hexenyl benzoic acid,GC-MS
2-Phenylethyl 2-methylbut-2-enoate,GC-MS
Phthalic acid,GC-MS
Ethyl 2-methylbutyrate,GC-MS
Ethyl propionate,GC-MS
Ethyl acetate,GC-MS
Ethyl butyrate,GC-MS
Ethyl crotonate,GC-MS
"1,1'-[Methylenebis(thio)]bis-ethane",GC-MS
Diethyl disulfide,GC-MS
Propyl 2-methylbutyrate,GC-MS
Ethyl tiglate,GC-MS
Methyl 2-methylbutyrate,GC-MS
"3,5-Dimethyl-1,2,4-trithiolane",GC-MS
Ethanethiol,GC-MS
Ethyl octanoate,GC-MS
"1,2-Dimethoxyethylene",GC-MS
Ethyl sorbate,GC-MS
Isoledene,GC-MS
2-Hexenal,GC-MS
Cyclononasilodane,GC-MS
beta-Asarone,GC-MS
Isoascaridole,GC-MS
4-Isopropyl-2-cyclohexenone,GC-MS
Ascaridole,GC-MS
beta-Biotol,GC-MS
alpha-Atlantone,GC-MS
"2-Naphthaleneethanol, 1,2,3,4,4a,5,6,8a-octahydro-4a,8-dimethyl-beta-methylene-, (2R,4aR,8aR)-",GC-MS
"1,2,3,4-Tetrahydro-1,5,8-trimethylnaphthalene",GC-MS
"Indan, 1,1,4,5-tetramethyl-",GC-MS
"1,1,6-Trimethyl-1,2-dihydronaphthalene",GC-MS
"1,5-Dimethyltetralin",GC-MS
"Decahydro-1,2-dimethylnaphthalene",GC-MS
"2,4-Nonadienal",GC-MS
Dihydro-beta-ionone,GC-MS
2-Undecenal,GC-MS
2-Nonenal,GC-MS
Dioctyl adipate,GC-MS
P-Menth-1-en-9-al,GC-MS
2-Decenal,GC-MS
"2,6,6-Trimethyl-2-vinyltetrahydropyran",GC-MS
C15H24O,GC-MS
Methyl-p-hydroxy benzoate,GC-MS
2-Pentenyl-hydroxy-phenylketone,GC-MS
Isopropyl undecanoate,GC-MS
"2,4-Dimethyl-4[p-cuminyl]-valeraldehyde",GC-MS
2-Phenylethanol,GC-MS
Isopropyl-methyl-cyclo-hexenyl-methyl ether,GC-MS
Isoeugenol,GC-MS
Butylated Hydroxytoluene,GC-MS
Indole,GC-MS
6p-Tolyl-3-heptanone,GC-MS
Isopropyl(4-phenyl-2-butenyl) ether,GC-MS
"1,4-Dichlorobenzene",GC-MS
2-Octenal,GC-MS
Benzyl Alcohol,GC-MS
Kaur-16-ene,GC-MS
"1,54-Dibromotetrapentacontane",GC-MS
1-(1-Ethoxyethoxy)octane,GC-MS
Pristane,GC-MS
gamma-Butyrolactone,GC-MS
2-(Hexyloxy)ethanol,GC-MS
Humuladienone+Methyl tridecanoate,GC-MS
beta-Humulene-7-ol,GC-MS
Humulene epoxide,GC-MS
beta-Humulene-7-ol acetate,GC-MS
Khusol acetate,GC-MS
Undecane,GC-MS
alpha-Himachalene,GC-MS
gamma-Selinene,GC-MS
Isoamyl isovalerate,GC-MS
Butyl isovalerate,GC-MS
Ethyl isovalerate,GC-MS
Butyl acetate,GC-MS
Isobutyl isovalerate,GC-MS
Pentyl butyrate,GC-MS
3-(Methylthio)-1-hexanol,GC-MS
Butyl butyrate,GC-MS
Butyl hexanoate,GC-MS
3-Methylbutyl hexanoate,GC-MS
2-Methylbutyl acetate,GC-MS
"cis-Muurola-4(15),5-diene",GC-MS
Phytane,GC-MS
